Deal Announce Date,Previous Year,Acquirer Ticker,Acquirer Name,Target Name,Seller Name,Announced Total Value (mil.),TV/EBITDA,T_minus_10_Date,T_minus_10_Price,T_plus_10_Date,T_plus_10_Price,Market_Cap_AD_mil,ROA_percent,Acquirer_GHG_Emissions,Deal Status
25-07-2022,2021,SHEL,Shell PLC,Shell Midstream Partners LP,,1963.6,23.35,14-07-2022,41.38,04-08-2022,45.82,135264.59,1.09,45504846.91,Completed
20-07-2022,2021,BLK,BlackRock Inc,Vanguard Renewables LLC,Vision Ridge Partners LLC,,,08-07-2022,579.79,01-08-2022,628.3,92218.81,1.2,5308,Completed
19-07-2022,2021,KMI,Kinder Morgan Inc,3 landfill assets/Mas CanAm LLC,MAS CanAm LLC,355,,08-07-2022,14.41,29-07-2022,15.51,32658.66,0.93,14100000,Completed
14-07-2022,2021,EGY,VAALCO Energy Inc,TransGlobe Energy Corp,,328.51,1.76,01-07-2022,6.02,25-07-2022,4.76,478.2,1.17,107795.816,Completed
07-07-2022,2021,POR,General Electric Co,Nexus Controls LLC,Baker Hughes Co,,,24-06-2022,42.28,18-07-2022,44.32,4798.35,0.3,5859714,Completed
05-07-2022,2021,REI,Ring Energy Inc,"Stronghold Energy II Operating LLC,Stronghold Energy II Royalties LP","Warburg Pincus LLC,Unknown Seller",262.51,,24-06-2022,2.91,15-07-2022,2.41,507.38,2.42,121754.811,Completed
05-07-2022,2021,NNI,Nelnet Inc,Grne Solutions LLC,,,,24-06-2022,83.55,15-07-2022,87.56,2143.43,0.46,993.765,Completed
17-06-2022,2021,TRGP,Targa Resources Corp,Lucid Energy Group LLC,"Goldman Sachs Asset Management LP,Encap Flatrock Midstream,Riverstone Holdings LLC (Fund: Riverstone Pattern Energy II LP)",3550,,06-06-2022,71.92,27-06-2022,57.21,12457.58,1.54,7006559.465,Completed
09-06-2022,2021,DVN,Devon Energy Corp,Leasehold interest & related assets/RimRock Oil and Gas LP,Rimrock Oil & Gas LP,865,,27-05-2022,64.93,21-06-2022,52.73,43246.35,2.1,1543105.449,Completed
08-06-2022,2021,NOG,Northern Oil and Gas Inc,Non operated interests/Williston Basin,,158,,27-05-2022,29.74,21-06-2022,27.52,3208.02,1.28,342025.4175,Completed
